,Time,-x,+x,2x,-y,+y,2y
0,0.0039899349212646484,-5.385787815241364,5.565752893039942,10.951540708281305,-8.165731157996401,3.7738932430043177,11.939624401000719
1,11.419218063354492,-10.771575630482728,11.131505786079885,21.90308141656261,-16.331462315992802,7.547786486008635,23.879248802001438
2,13.488595008850098,-16.157363445724094,16.697258679119827,32.854622124843914,-24.497193473989206,11.321679729012953,35.818873203002155
3,14.84111738204956,-21.543151260965455,22.26301157215977,43.80616283312522,-32.662924631985604,15.09557297201727,47.758497604002876
4,16.861783027648926,-26.92893907620682,27.828764465199708,54.75770354140652,-40.82865578998201,18.86946621502159,59.6981220050036
5,18.942553520202637,-26.92893907620682,27.828764465199708,54.75770354140652,-40.82865578998201,18.86946621502159,59.6981220050036
6,20.262571334838867,-26.92893907620682,27.828764465199708,54.75770354140652,-40.82865578998201,18.86946621502159,59.6981220050036
7,21.387574195861816,-26.92893907620682,27.828764465199708,54.75770354140652,-40.82865578998201,18.86946621502159,59.6981220050036
8,22.42170739173889,-26.92893907620682,27.828764465199708,54.75770354140652,-40.82865578998201,18.86946621502159,59.6981220050036
9,23.465158462524414,-26.92893907620682,27.828764465199708,54.75770354140652,-40.82865578998201,18.86946621502159,59.6981220050036
